---,Destination_Name,Text_String,TableRow,PartnerPortal,Text_DestinationString
"StoneHill","10","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""D54E225C4245F49A0F8770883620AA67"", ""Stone Hill"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS102"")","LS102_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""947DBD114DFC1B2688B6B29F91B93230"", ""Go To Stone Hill"")"
"TownSquare","11","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""4900CFD14B0E1DF1AE1BDDB5F0689B25"", ""Town Square"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS104"")","LS104_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""D2A64BCE4143A392BE2D2E8F645F76D3"", ""Go To Town Square"")"
"StayHere","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""B12E2A1445DED9D9ADE492AACEFFE887"", ""Stay Here"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/Spyro1_StreamData.Spyro1_StreamData""',RowName=""LS101"")","LS101_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""C932342649E7AE4677D108ACA25A1E4A"", ""Stay Here"")"
"ReplayDragon","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""34CE331A4F982FE3CDE92082E08D11AD"", ""Replay Dragon"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/Spyro1_StreamData.Spyro1_StreamData""',RowName=""LS101"")","LS101_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""E81613E84FF7ED0CC831E4991BE15677"", ""Replay Dragon"")"
"Continue","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""0ED4202740568492AFF9A6AEB163BB68"", ""Continue"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/Spyro1_StreamData.Spyro1_StreamData""',RowName=""LS207"")","LS101_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""C6A1073B4800E8BF7DEC069CDA7AE56D"", ""Continue"")"
"SunriseSpring","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""FEB3141D42229D9166173A8AA3627D87"", ""Sunrise Spring"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS301"")","LS301_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""18709DB84D8E22E3F7757D884122DA3B"", ""Go To Sunrise Spring"")"
"BuzzsDungeon","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""BC71C2C047062FA8721DF2B336A6CB41"", ""Buzz's Dungeon"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS308"")","LS308_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""B5A326AA49F09730B2FD16A429D4A9D8"", ""Go To Buzz's Dungeon"")"
"MiddayGardens1","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""8AA30BF544A8491BF856C09F5543FD45"", ""Midday Gardens"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS310"")","LS310_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""3EAF81274FBA839990210580CFF91A13"", ""Go To Midday Gardens"")"
"SpikesArena","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""0A14410B45B220E77720CA88C672D7A0"", ""Spike's Arena"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS317"")","LS317_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""0DCCB7E74075C35B97497992CE604E96"", ""Go To Spike's Arena"")"
"EveningLake1","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""342412AA400B082F0108F488D1E5D55C"", ""Evening Lake"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS319"")","LS319_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""64A841794058010395A4649CE70A1C24"", ""Go To Evening Lake"")"
"ScorchsPit","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""EB65540C462E8502AB760A978623B0D4"", ""Scorch's Pit"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS326"")","LS326_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""1BF3EC604B3520284971F6858DDBED8F"", ""Go To Scorch's Pit"")"
"MidnightMountain","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""21FBEACB4784B2ADA019569356969A61"", ""Midnight Mountain"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS328"")","LS328_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""B4AE7EA349EFAB604F3B4F88A52D25E7"", ""Go To Midnight Mountain"")"
"SorceressLair","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""B8778E9E479E483577BFECA544C76118"", ""Sorceress Lair"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS335"")","LS335_BalloonPoint","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""4795DDBF4BE7EC00E57D8DA94A55C562"", ""Go To Sorceress Lair"")"
"MiddayGardens2","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""D33E157249155F1EA42D34B3A522BC21"", ""Midday Gardens"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS310"")","LS310_BalloonPoint2","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""3C819F07403719E1D3AEB0BC206832A0"", ""Go To Midday Gardens"")"
"EveningLake2","1","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""1A3CF6734D06FAA6A516B5B585520BE1"", ""Evening Lake"")","(DataTable=DataTable'""/GameplayCommon/LevelMechanics/LevelStreaming/StreamingData/LevelStreams/SpyroStreamData.SpyroStreamData""',RowName=""LS319"")","LS319_BalloonPoint2","NSLOCTEXT(""[57731B134D4FFC193510C48B678FDF7A]"", ""A7D6BA0B40BCFD9EA26A49A56A5EBBDE"", ""Go To Evening Lake"")"
